seed,iteration,evaluation_number,candidate_key,learning_rate,batch_size,dropout,optimizer,status,best_val_dice,best_val_iou,epochs_completed,candidate_time_seconds,timestamp_utc,method
2026,3.0,9,4777caa2bf2a,0.0005,4,0.0,rmsprop,completed,0.4305441379547119,0.2751626074314117,4,36.59283543600032,2026-08-27T15:47:10.662791,NFC-ACO
2026,3.0,10,e4053ce901af,0.0001,8,0.1,adam,completed,0.3318646550178528,0.1990119218826294,3,63.26968801200019,2026-08-27T15:47:52.613988,NFC-ACO
2026,3.0,11,bcb9a741105d,1e-05,8,0.0,adam,completed,0.3501739203929901,0.2123424261808395,5,55.95756370200024,2026-08-27T15:49:02.343385,NFC-ACO
2026,3.0,12,366ecd325f50,0.0001,4,0.1,adam,completed,0.4113016128540039,0.2593980431556701,5,60.00572136699998,2026-08-27T17:14:30.294930,NFC-ACO
42,,1,4777caa2bf2a,0.0005,4,0.0,rmsprop,completed,0.4164178371429443,0.2638804316520691,5,50.363887619000025,,Random Search
42,,2,f0c316f95bcf,0.0001,8,0.0,adam,completed,0.3563512563705444,0.2169830054044723,5,67.26417484900003,,Random Search
42,,3,5c8e3a7c4d59,0.0005,8,0.1,rmsprop,completed,0.4202149510383606,0.2669441699981689,5,55.96500475700009,,Random Search
42,,4,cba19fc23228,0.0001,8,0.2,adam,completed,0.3526549041271209,0.2142810821533203,5,63.06720030000008,,Random Search
42,,5,1e3db20a63ac,1e-05,4,0.2,rmsprop,completed,0.3727908730506897,0.2294834554195404,5,43.626933398000006,,Random Search
42,,6,8cf0b21d774a,0.0005,8,0.2,rmsprop,completed,0.4852569103240967,0.3206802308559418,5,56.912795399999936,,Random Search
42,,7,528cef7a8e10,0.0005,8,0.1,adam,completed,0.4295724928379059,0.2741098999977112,4,61.34191294499999,,Random Search
42,,8,b922c31e5176,0.0001,4,0.0,adam,completed,0.3332589268684387,0.2001610547304153,3,39.08500652800001,,Random Search
42,,9,a207ed13b88c,5e-05,8,0.1,adam,completed,0.3543950021266937,0.2155641615390777,5,63.98212448300001,,Random Search
42,,10,324e5494f436,0.0001,4,0.2,adam,completed,0.3342885673046112,0.2009312808513641,3,40.40432425799997,,Random Search
42,,11,4f06c8e9d2fc,5e-05,4,0.2,rmsprop,completed,0.4743290841579437,0.3114784061908722,5,44.17840159000002,,Random Search
42,,12,177ce32fea3c,0.0005,8,0.0,rmsprop,completed,0.4038208425045013,0.2536175847053528,5,44.31719761399995,,Random Search
123,,1,4f06c8e9d2fc,5e-05,4,0.2,rmsprop,completed,0.3634071350097656,0.2227553874254226,5,58.232770415000005,,Random Search
123,,2,36dc7c1dd383,0.0001,8,0.0,rmsprop,completed,0.3381121158599853,0.2036817520856857,3,55.42330947400001,,Random Search
123,,3,a207ed13b88c,5e-05,8,0.1,adam,completed,0.3418994545936584,0.206499770283699,5,66.51479362199996,,Random Search
123,,4,cd9d155ca483,5e-05,8,0.0,rmsprop,completed,0.3516315221786499,0.2136482745409011,5,44.506837367,,Random Search
123,,5,2153497ca9df,1e-05,4,0.1,adam,completed,0.3655075430870056,0.2242664843797683,5,50.54269581100005,,Random Search
123,,6,12c3815351ef,1e-05,8,0.0,rmsprop,completed,0.3541126847267151,0.2154571264982223,5,44.70406458599996,,Random Search
123,,7,b5968585ff53,0.0005,4,0.1,rmsprop,completed,0.4844680726528168,0.3210634589195251,5,44.164350892000016,,Random Search
123,,8,428a54728016,5e-05,8,0.2,rmsprop,completed,0.3304702341556549,0.1981574743986129,3,51.822522315000015,,Random Search
123,,9,703e9c7372ae,0.0005,4,0.1,adam,completed,0.3099918067455292,0.183820441365242,3,43.099613970000064,,Random Search
123,,10,5c8e3a7c4d59,0.0005,8,0.1,rmsprop,completed,0.5034986734390259,0.3374654650688171,5,59.56054736200008,,Random Search
123,,11,1b9a284c8af4,5e-05,8,0.0,adam,completed,0.41590017080307,0.2630563676357269,5,49.33094327899994,,Random Search
123,,12,04efb257c42b,1e-05,4,0.0,adam,completed,0.3696719110012054,0.2274506539106369,5,43.057855822999954,,Random Search
2026,,1,177ce32fea3c,0.0005,8,0.0,rmsprop,completed,0.4727287292480469,0.30969899892807,5,45.428535625,,Random Search
2026,,2,7156d7f1c264,0.0005,4,0.0,adam,completed,0.4230308532714844,0.2692329287528991,4,40.17888142700008,,Random Search
2026,,3,48390b5b8105,0.0001,4,0.2,rmsprop,completed,0.3359290957450866,0.2020822316408157,4,42.33470752899984,,Random Search
2026,,4,cf97ed34870b,0.0005,4,0.2,adam,completed,0.3408519029617309,0.2057312428951263,3,43.09839961700027,,Random Search
2026,,5,e166db52a925,1e-05,4,0.1,rmsprop,completed,0.3912148773670196,0.2435431480407714,5,45.91237541600003,,Random Search
2026,,6,1b9a284c8af4,5e-05,8,0.0,adam,completed,0.3830617666244507,0.2370205819606781,5,52.91396481599986,,Random Search
2026,,7,de629ee747c7,0.0001,8,0.2,rmsprop,completed,0.3467616438865661,0.209871619939804,5,60.86322116999963,,Random Search
2026,,8,bcb9a741105d,1e-05,8,0.0,adam,completed,0.360842615365982,0.2202307283878326,5,53.38104638300001,,Random Search
2026,,9,c8416300fb01,5e-05,4,0.0,adam,completed,0.3442268967628479,0.2081538885831833,5,43.390914895999686,,Random Search
2026,,10,1d74eabffce7,1e-05,8,0.1,rmsprop,completed,0.3326803147792816,0.1995991170406341,3,54.676550701,,Random Search
2026,,11,1e3db20a63ac,1e-05,4,0.2,rmsprop,completed,0.3859632611274719,0.2394684255123138,5,46.85573997699976,,Random Search
2026,,12,add2531a004d,0.0005,4,0.2,rmsprop,completed,0.4232777059078216,0.2690145671367645,4,42.163926774000174,,Random Search
